Latitude (decimal degrees):	10.026
Longitude (decimal degrees):	76.329
Elevation (m):	6
Radiation database:	PVGIS-ERA5


Slope: 23 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230221:0730,703.02,975.58,68.75,32.46,2.07,0.0
20230221:0830,643.71,872.76,61.17,32.83,3.03,0.0
20230221:0930,596.06,793.96,49.3,32.67,3.79,0.0
20230221:1030,470.02,617.7,35.91,32.33,4.34,0.0
20230221:1130,259.9,352.29,21.88,31.48,4.55,0.0
20230221:1230,60.42,112.03,7.54,30.04,4.14,0.0
20230221:1330,0.0,0.0,0.0,28.66,3.24,0.0
20230221:1430,0.0,0.0,0.0,27.75,2.41,0.0
20230221:1530,0.0,0.0,0.0,27.29,1.66,0.0
20230221:1630,0.0,0.0,0.0,26.72,0.69,0.0
20230221:1730,0.0,0.0,0.0,26.08,0.69,0.0
20230221:1830,0.0,0.0,0.0,25.35,1.03,0.0
20230221:1930,0.0,0.0,0.0,25.61,0.9,0.0
20230221:2030,0.0,0.0,0.0,25.23,1.1,0.0
20230221:2130,0.0,0.0,0.0,24.98,1.24,0.0
20230221:2230,0.0,0.0,0.0,24.81,1.38,0.0
20230221:2330,0.0,0.0,0.0,24.82,1.52,0.0
20230222:0030,0.0,0.0,0.0,24.69,1.72,0.0
20230222:0130,24.4,63.77,3.39,24.31,1.72,0.0
20230222:0230,208.1,285.67,17.8,24.3,1.31,0.0
20230222:0330,419.8,551.65,31.97,26.38,1.03,0.0
20230222:0430,573.78,779.65,45.65,28.2,0.62,0.0
20230222:0530,670.02,951.27,58.19,29.9,0.28,0.0
20230222:0630,716.12,1019.86,67.6,31.37,0.97,0.0
20230222:0730,725.15,1023.71,69.09,32.67,1.66,0.0
20230222:0830,694.81,953.75,61.4,33.11,2.9,0.0
20230222:0930,602.87,804.07,49.46,32.89,4.0,0.0
20230222:1030,466.93,614.02,36.01,32.45,4.41,0.0
20230222:1130,269.19,365.28,21.95,31.7,4.34,0.0
20230222:1230,62.65,116.14,7.59,30.32,4.21,0.0
20230222:1330,0.0,0.0,0.0,28.81,3.38,0.0
20230222:1430,0.0,0.0,0.0,27.88,2.34,0.0
20230222:1530,0.0,0.0,0.0,27.25,0.55,0.0
20230222:1630,0.0,0.0,0.0,26.41,0.83,0.0
20230222:1730,0.0,0.0,0.0,25.35,1.31,0.0
20230222:1830,0.0,0.0,0.0,24.77,1.38,0.0
20230222:1930,0.0,0.0,0.0,24.69,1.24,0.0
20230222:2030,0.0,0.0,0.0,24.24,1.24,0.0
20230222:2130,0.0,0.0,0.0,23.54,1.38,0.0
20230222:2230,0.0,0.0,0.0,23.29,1.24,0.0
20230222:2330,0.0,0.0,0.0,22.98,1.24,0.0
20230223:0030,0.0,0.0,0.0,22.62,1.24,0.0
20230223:0130,19.66,53.37,3.48,22.51,1.1,0.0
20230223:0230,204.32,280.84,17.92,23.39,0.55,0.0
20230223:0330,376.8,494.78,32.12,25.64,0.48,0.0
20230223:0430,485.8,644.88,45.84,27.21,0.69,0.0
20230223:0530,621.15,846.87,58.44,28.53,0.97,0.0
20230223:0630,702.18,972.31,67.94,29.74,1.52,0.0
20230223:0730,744.86,1049.44,69.44,31.28,1.59,0.0
20230223:0830,705.72,966.68,61.64,31.94,2.76,0.0
20230223:0930,615.0,821.05,49.61,32.06,3.59,0.0
20230223:1030,474.88,622.88,36.11,31.83,4.34,0.0
20230223:1130,270.24,365.54,22.02,31.13,4.55,0.0
20230223:1230,62.2,115.41,7.64,29.78,4.28,0.0
20230223:1330,0.0,0.0,0.0,28.37,3.52,0.0
20230223:1430,0.0,0.0,0.0,27.45,2.41,0.0
20230223:1530,0.0,0.0,0.0,26.99,1.03,0.0
20230223:1630,0.0,0.0,0.0,26.17,1.45,0.0
20230223:1730,0.0,0.0,0.0,25.56,1.79,0.0
20230223:1830,0.0,0.0,0.0,25.08,1.72,0.0
20230223:1930,0.0,0.0,0.0,24.96,1.66,0.0
20230223:2030,0.0,0.0,0.0,24.37,1.45,0.0
20230223:2130,0.0,0.0,0.0,23.7,1.38,0.0
20230223:2230,0.0,0.0,0.0,23.1,1.17,0.0
20230223:2330,0.0,0.0,0.0,22.87,1.1,0.0
20230224:0030,0.0,0.0,0.0,22.3,1.24,0.0
20230224:0130,25.02,64.54,3.58,21.91,1.52,0.0
20230224:0230,209.12,284.78,18.04,22.46,1.31,0.0
20230224:0330,423.14,552.75,32.26,25.78,1.31,0.0
20230224:0430,590.15,786.33,46.02,27.74,1.66,0.0
20230224:0530,691.8,952.75,58.69,29.5,1.52,0.0
20230224:0630,739.25,1041.91,68.29,31.03,1.45,0.0
20230224:0730,745.91,1053.09,69.79,31.89,1.66,0.0
20230224:0830,707.02,972.32,61.87,32.55,2.69,0.0
20230224:0930,608.53,811.2,49.76,32.45,3.79,0.0
20230224:1030,453.21,594.19,36.21,31.92,4.28,0.0
20230224:1130,260.5,352.69,22.09,30.93,4.48,0.0
20230224:1230,58.6,109.64,7.68,29.6,4.14,0.0
20230224:1330,0.0,0.0,0.0,28.34,3.1,0.0
20230224:1430,0.0,0.0,0.0,27.5,2.14,0.0
20230224:1530,0.0,0.0,0.0,27.09,1.1,0.0
20230224:1630,0.0,0.0,0.0,26.3,1.03,0.0
20230224:1730,0.0,0.0,0.0,25.58,1.31,0.0
20230224:1830,0.0,0.0,0.0,25.02,1.45,0.0
20230224:1930,0.0,0.0,0.0,24.73,1.31,0.0
20230224:2030,0.0,0.0,0.0,24.28,1.38,0.0
20230224:2130,0.0,0.0,0.0,23.86,1.38,0.0
20230224:2230,0.0,0.0,0.0,23.52,1.52,0.0
20230224:2330,0.0,0.0,0.0,23.24,1.59,0.0
20230225:0030,0.0,0.0,0.0,23.04,1.72,0.0
20230225:0130,23.85,62.3,3.68,22.94,1.79,0.0
20230225:0230,211.38,288.81,18.16,23.41,1.59,0.0
20230225:0330,411.41,536.61,32.41,26.05,1.52,0.0
20230225:0430,549.41,730.83,46.21,27.94,1.45,0.0
20230225:0530,668.83,930.99,58.95,29.67,0.9,0.0
20230225:0630,709.7,1017.81,68.63,31.33,0.62,0.0
20230225:0730,732.9,1043.58,70.14,32.98,1.45,0.0
20230225:0830,693.63,958.55,62.1,33.65,2.62,0.0
20230225:0930,613.9,823.89,49.9,33.42,3.72,0.0
20230225:1030,441.35,581.08,36.31,32.79,4.28,0.0
20230225:1130,242.6,330.64,22.15,31.67,4.48,0.0
20230225:1230,58.82,110.67,7.72,30.12,4.0,0.0
20230225:1330,0.0,0.0,0.0,28.75,3.1,0.0
20230225:1430,0.0,0.0,0.0,27.89,1.86,0.0
20230225:1530,0.0,0.0,0.0,27.18,0.28,0.0
20230225:1630,0.0,0.0,0.0,26.85,0.48,0.0
20230225:1730,0.0,0.0,0.0,25.72,0.9,0.0
20230225:1830,0.0,0.0,0.0,24.81,1.17,0.0
20230225:1930,0.0,0.0,0.0,25.18,0.9,0.0
20230225:2030,0.0,0.0,0.0,24.53,1.03,0.0
20230225:2130,0.0,0.0,0.0,24.08,1.03,0.0
20230225:2230,0.0,0.0,0.0,23.57,1.17,0.0
20230225:2330,0.0,0.0,0.0,23.12,1.24,0.0
20230226:0030,0.0,0.0,0.0,22.77,1.31,0.0
20230226:0130,21.13,56.53,3.79,22.62,1.38,0.0
20230226:0230,196.82,269.8,18.28,22.89,1.31,0.0
20230226:0330,405.44,530.04,32.56,25.75,1.1,0.0
20230226:0430,520.24,694.34,46.4,27.95,0.9,0.0
20230226:0530,673.95,951.7,59.2,29.81,0.48,0.0
20230226:0630,717.0,1058.44,68.98,31.73,0.0,0.0
20230226:0730,738.33,1071.18,70.49,33.13,0.9,0.0
20230226:0830,710.76,994.53,62.33,33.82,2.21,0.0
20230226:0930,625.38,847.15,50.04,33.92,3.31,0.0
20230226:1030,477.25,633.07,36.4,33.54,4.07,0.0
20230226:1130,274.38,374.73,22.21,32.64,4.21,0.0
20230226:1230,62.08,116.85,7.76,30.96,4.0,0.0
20230226:1330,0.0,0.0,0.0,29.11,3.59,0.0
20230226:1430,0.0,0.0,0.0,27.95,2.69,0.0
20230226:1530,0.0,0.0,0.0,27.27,2.07,0.0
20230226:1630,0.0,0.0,0.0,26.68,1.86,0.0
20230226:1730,0.0,0.0,0.0,26.08,1.31,0.0
20230226:1830,0.0,0.0,0.0,26.3,0.62,0.0
20230226:1930,0.0,0.0,0.0,24.47,1.17,0.0
20230226:2030,0.0,0.0,0.0,24.36,0.83,0.0
20230226:2130,0.0,0.0,0.0,24.23,0.69,0.0
20230226:2230,0.0,0.0,0.0,23.83,0.62,0.0
20230226:2330,0.0,0.0,0.0,23.69,0.69,0.0
20230227:0030,0.0,0.0,0.0,22.62,1.1,0.0
20230227:0130,24.51,64.41,3.9,21.73,1.52,0.0
20230227:0230,218.82,297.36,18.41,22.22,1.52,0.0
20230227:0330,387.54,501.35,32.71,24.9,1.59,0.0
20230227:0430,543.55,715.67,46.59,26.88,1.59,0.0
20230227:0530,700.73,970.48,59.46,28.65,1.17,0.0
20230227:0630,744.68,1073.62,69.33,30.37,0.62,0.0
20230227:0730,749.86,1087.97,70.83,32.21,0.83,0.0
20230227:0830,723.5,1012.53,62.55,32.9,2.07,0.0
20230227:0930,636.4,857.77,50.18,32.85,3.38,0.0
20230227:1030,482.95,637.78,36.49,32.57,4.07,0.0
20230227:1130,275.93,375.22,22.27,31.77,4.34,0.0
20230227:1230,61.44,115.69,7.8,30.15,4.0,0.0
20230227:1330,0.0,0.0,0.0,28.43,3.17,0.0
20230227:1430,0.0,0.0,0.0,27.31,2.34,0.0
20230227:1530,0.0,0.0,0.0,26.85,1.45,0.0
20230227:1630,0.0,0.0,0.0,25.96,1.03,0.0
20230227:1730,0.0,0.0,0.0,26.33,0.55,0.0
20230227:1830,0.0,0.0,0.0,25.61,0.48,0.0
20230227:1930,0.0,0.0,0.0,24.74,0.69,0.0
20230227:2030,0.0,0.0,0.0,24.25,0.76,0.0
20230227:2130,0.0,0.0,0.0,23.86,0.62,0.0
20230227:2230,0.0,0.0,0.0,23.48,0.69,0.0
20230227:2330,0.0,0.0,0.0,22.95,0.76,0.0
20230228:0030,0.0,0.0,0.0,22.54,0.83,0.0
20230228:0130,22.14,58.78,4.01,21.65,1.03,0.0
20230228:0230,214.03,291.35,18.54,21.89,1.03,0.0
20230228:0330,423.31,555.34,32.86,25.58,0.9,0.0
20230228:0430,546.96,737.57,46.78,27.69,0.55,0.0
20230228:0530,635.33,880.82,59.71,29.35,0.62,0.0
20230228:0630,683.28,957.96,69.69,30.68,0.97,0.0
20230228:0730,629.42,866.12,71.18,32.01,1.59,0.0
20230228:0830,618.16,840.57,62.77,32.38,2.21,0.0
20230228:0930,448.47,593.22,50.31,32.58,2.97,0.0
20230228:1030,299.64,395.46,36.57,32.14,3.38,0.0
20230228:1130,192.73,266.72,22.32,31.38,3.24,0.0
20230228:1230,30.07,62.76,7.84,30.55,2.9,0.0
20230228:1330,0.0,0.0,0.0,29.27,2.69,0.0
20230228:1430,0.0,0.0,0.0,28.51,2.34,0.0
20230228:1530,0.0,0.0,0.0,27.87,2.21,0.0
20230228:1630,0.0,0.0,0.0,27.5,2.28,0.0
20230228:1730,0.0,0.0,0.0,27.04,2.41,0.0
20230228:1830,0.0,0.0,0.0,26.88,2.07,0.0
20230228:1930,0.0,0.0,0.0,26.69,1.38,0.0
20230228:2030,0.0,0.0,0.0,26.16,1.1,0.0
20230228:2130,0.0,0.0,0.0,25.74,1.17,0.0
20230228:2230,0.0,0.0,0.0,25.5,1.45,0.0
20230228:2330,0.0,0.0,0.0,25.08,1.66,0.0
20230301:0030,0.0,0.0,0.0,24.82,1.86,0.0
20230301:0130,20.41,55.72,4.12,24.55,2.0,0.0
20230301:0230,177.88,246.39,18.67,24.81,1.86,0.0
20230301:0330,386.93,505.39,33.02,26.97,1.72,0.0
20230301:0430,493.34,655.39,46.97,29.18,1.45,0.0
20230301:0530,514.33,690.79,59.97,30.69,1.31,0.0
20230301:0630,638.78,881.2,70.04,31.78,1.52,0.0
20230301:0730,558.21,767.41,71.53,32.94,1.45,0.0
20230301:0830,445.74,595.36,62.98,33.09,2.41,0.0
20230301:0930,323.49,427.93,50.44,32.57,2.9,0.0
20230301:1030,254.57,339.5,36.65,32.02,2.69,0.0
20230301:1130,145.95,207.18,22.37,31.43,2.0,0.0
20230301:1230,26.68,56.69,7.87,30.76,1.59,0.0
20230301:1330,0.0,0.0,0.0,29.88,2.0,0.0
20230301:1430,0.0,0.0,0.0,29.03,1.93,0.0
20230301:1530,0.0,0.0,0.0,28.42,1.79,0.0
20230301:1630,0.0,0.0,0.0,28.04,1.38,0.0
20230301:1730,0.0,0.0,0.0,27.51,1.1,0.0
20230301:1830,0.0,0.0,0.0,26.76,0.9,0.0
20230301:1930,0.0,0.0,0.0,26.42,0.83,0.0
20230301:2030,0.0,0.0,0.0,26.21,0.76,0.0
20230301:2130,0.0,0.0,0.0,25.36,0.76,0.0
20230301:2230,0.0,0.0,0.0,25.34,0.55,0.0
20230301:2330,0.0,0.0,0.0,24.45,1.1,0.0
20230302:0030,0.0,0.0,0.0,24.41,1.52,0.0
20230302:0130,19.43,53.27,4.23,24.35,1.72,0.0
20230302:0230,212.6,291.93,18.8,24.46,1.72,0.0
20230302:0330,428.31,559.13,33.17,26.24,1.66,0.0
20230302:0430,587.44,784.16,47.16,28.5,1.79,0.0
20230302:0530,687.0,951.39,60.23,30.57,1.52,0.0
20230302:0630,725.62,1043.12,70.4,32.3,0.9,0.0
20230302:0730,729.78,1051.51,71.88,33.45,1.1,0.0
20230302:0830,702.75,978.22,63.19,33.94,2.41,0.0
20230302:0930,613.89,828.48,50.56,33.89,3.45,0.0
20230302:1030,465.48,615.4,36.73,33.46,4.41,0.0
20230302:1130,255.42,349.65,22.42,32.59,4.69,0.0
20230302:1230,56.63,109.4,7.9,30.85,4.41,0.0
20230302:1330,0.0,0.0,0.0,29.21,3.79,0.0
20230302:1430,0.0,0.0,0.0,28.15,2.9,0.0
20230302:1530,0.0,0.0,0.0,27.57,1.93,0.0
20230302:1630,0.0,0.0,0.0,27.12,1.17,0.0
20230302:1730,0.0,0.0,0.0,27.16,0.28,0.0
20230302:1830,0.0,0.0,0.0,26.0,0.9,0.0
20230302:1930,0.0,0.0,0.0,25.79,0.9,0.0
20230302:2030,0.0,0.0,0.0,25.5,0.83,0.0
20230302:2130,0.0,0.0,0.0,24.52,0.97,0.0
20230302:2230,0.0,0.0,0.0,23.46,1.24,0.0
20230302:2330,0.0,0.0,0.0,23.07,1.38,0.0
20230303:0030,0.0,0.0,0.0,22.5,1.52,0.0
20230303:0130,23.91,61.33,4.35,21.86,1.72,0.0
20230303:0230,229.92,311.78,18.93,22.33,1.79,0.0
20230303:0330,442.79,576.28,33.33,25.52,1.72,0.0
20230303:0430,600.58,803.95,47.36,28.16,1.66,0.0
20230303:0530,697.27,971.61,60.49,30.42,1.31,0.0
20230303:0630,722.81,1052.62,70.76,32.31,0.48,0.0
20230303:0730,699.48,1016.2,72.23,33.47,0.55,0.0
20230303:0830,685.08,960.6,63.4,34.05,1.86,0.0
20230303:0930,607.23,826.29,50.68,34.16,2.83,0.0
20230303:1030,457.72,609.88,36.8,33.81,3.52,0.0
20230303:1130,260.02,357.75,22.47,33.0,3.86,0.0
20230303:1230,56.47,109.69,7.92,31.46,3.59,0.0
20230303:1330,0.0,0.0,0.0,29.64,3.52,0.0
20230303:1430,0.0,0.0,0.0,28.36,2.83,0.0
20230303:1530,0.0,0.0,0.0,27.59,2.0,0.0
20230303:1630,0.0,0.0,0.0,26.96,2.0,0.0
20230303:1730,0.0,0.0,0.0,26.55,1.52,0.0
20230303:1830,0.0,0.0,0.0,26.12,0.97,0.0
20230303:1930,0.0,0.0,0.0,25.43,0.83,0.0
20230303:2030,0.0,0.0,0.0,24.65,0.97,0.0
20230303:2130,0.0,0.0,0.0,24.45,0.9,0.0
20230303:2230,0.0,0.0,0.0,24.37,0.62,0.0
20230303:2330,0.0,0.0,0.0,23.67,0.69,0.0
20230304:0030,0.0,0.0,0.0,23.15,0.97,0.0
20230304:0130,24.86,64.86,4.47,22.14,1.24,0.0
20230304:0230,218.07,297.4,19.07,22.53,1.24,0.0
20230304:0330,425.66,558.01,33.49,25.88,1.1,0.0
20230304:0430,569.7,771.84,47.55,28.16,0.69,0.0
20230304:0530,657.24,937.72,60.74,30.2,0.07,0.0
20230304:0630,717.85,1025.82,71.12,31.79,0.9,0.0
20230304:0730,738.93,1033.08,72.58,32.64,2.21,0.0
20230304:0830,701.65,959.28,63.6,33.04,3.17,0.0
20230304:0930,604.26,806.54,50.8,33.12,3.93,0.0
20230304:1030,377.28,495.15,36.87,32.7,4.55,0.0
20230304:1130,183.31,253.59,22.51,31.21,4.69,0.0
20230304:1230,44.01,87.35,7.95,29.81,3.86,0.0
20230304:1330,0.0,0.0,0.0,28.74,2.76,0.0
20230304:1430,0.0,0.0,0.0,28.02,1.93,0.0
20230304:1530,0.0,0.0,0.0,27.61,1.93,0.0
20230304:1630,0.0,0.0,0.0,27.32,1.72,0.0
20230304:1730,0.0,0.0,0.0,26.99,0.97,0.0
20230304:1830,0.0,0.0,0.0,27.0,0.34,0.0
20230304:1930,0.0,0.0,0.0,26.66,0.41,0.0
20230304:2030,0.0,0.0,0.0,25.58,0.97,0.0
20230304:2130,0.0,0.0,0.0,24.93,1.38,0.0
20230304:2230,0.0,0.0,0.0,24.76,1.66,0.0
20230304:2330,0.0,0.0,0.0,24.49,1.86,0.0
20230305:0030,0.0,0.0,0.0,24.25,1.86,0.0
20230305:0130,21.26,57.92,4.6,24.04,1.86,0.0
20230305:0230,198.91,274.65,19.2,24.43,1.45,0.0
20230305:0330,404.6,531.45,33.65,26.92,1.24,0.0
20230305:0430,555.76,749.33,47.75,29.23,1.1,0.0
20230305:0530,640.02,904.36,61.0,31.19,0.41,0.0
20230305:0630,675.57,973.26,71.48,32.62,0.41,0.0
20230305:0730,661.55,924.69,72.93,33.58,1.72,0.0
20230305:0830,605.4,819.23,63.8,33.92,3.24,0.0
20230305:0930,379.99,500.47,50.91,33.53,3.93,0.0
20230305:1030,316.18,416.61,36.94,32.59,4.0,0.0
20230305:1130,94.57,141.09,22.55,31.89,2.69,0.0
20230305:1230,39.92,81.73,7.97,30.75,2.21,0.0
20230305:1330,0.0,0.0,0.0,29.79,2.48,0.0
20230305:1430,0.0,0.0,0.0,28.84,2.34,0.0
20230305:1530,0.0,0.0,0.0,28.4,1.79,0.0
20230305:1630,0.0,0.0,0.0,27.94,0.83,0.0
20230305:1730,0.0,0.0,0.0,27.64,0.48,0.0
20230305:1830,0.0,0.0,0.0,26.62,1.17,0.0
20230305:1930,0.0,0.0,0.0,26.41,1.17,0.0
20230305:2030,0.0,0.0,0.0,25.77,1.17,0.0
20230305:2130,0.0,0.0,0.0,25.28,1.24,0.0
20230305:2230,0.0,0.0,0.0,24.92,1.52,0.0
20230305:2330,0.0,0.0,0.0,24.62,1.59,0.0
20230306:0030,0.0,0.0,0.0,24.26,1.52,0.0
20230306:0130,23.95,62.92,4.72,23.88,1.45,0.0
20230306:0230,211.46,291.37,19.34,24.41,1.24,0.0
20230306:0330,408.16,537.12,33.81,27.11,1.17,0.0
20230306:0430,572.21,773.68,47.95,29.2,1.1,0.0
20230306:0530,650.11,913.6,61.26,31.17,0.69,0.0
20230306:0630,703.21,1020.45,71.84,32.61,0.48,0.0
20230306:0730,705.03,998.08,73.27,33.71,1.66,0.0
20230306:0830,676.37,930.46,63.99,34.05,2.9,0.0
20230306:0930,560.57,749.46,51.02,33.92,3.79,0.0
20230306:1030,384.71,508.26,37.0,33.34,4.28,0.0
20230306:1130,223.89,307.95,22.59,32.14,4.62,0.0
20230306:1230,49.04,96.05,7.99,30.68,4.21,0.0
20230306:1330,0.0,0.0,0.0,29.36,3.17,0.0
20230306:1430,0.0,0.0,0.0,28.51,1.79,0.0
20230306:1530,0.0,0.0,0.0,27.93,0.28,0.0
20230306:1630,0.0,0.0,0.0,26.41,1.1,0.0
20230306:1730,0.0,0.0,0.0,25.75,1.38,0.0
20230306:1830,0.0,0.0,0.0,25.29,1.52,0.0
20230306:1930,0.0,0.0,0.0,25.28,1.24,0.0
20230306:2030,0.0,0.0,0.0,24.69,1.38,0.0
20230306:2130,0.0,0.0,0.0,24.25,1.59,0.0
20230306:2230,0.0,0.0,0.0,23.89,1.59,0.0
20230306:2330,0.0,0.0,0.0,23.52,1.45,0.0
20230307:0030,0.0,0.0,0.0,23.24,1.52,0.0
20230307:0130,21.92,57.47,4.85,23.02,1.59,0.0
20230307:0230,205.03,281.56,19.48,23.78,1.31,0.0
20230307:0330,385.94,507.66,33.97,26.82,1.1,0.0
20230307:0430,549.94,739.98,48.14,28.81,1.17,0.0
20230307:0530,662.45,921.29,61.52,30.62,1.17,0.0
20230307:0630,717.01,1020.38,72.21,32.32,1.17,0.0
20230307:0730,690.72,964.36,73.61,33.13,1.86,0.0
20230307:0830,621.44,848.15,64.17,33.42,2.62,0.0
20230307:0930,587.37,788.16,51.12,33.24,3.31,0.0
20230307:1030,434.63,573.36,37.06,32.85,4.07,0.0
20230307:1130,235.58,323.67,22.62,31.77,4.48,0.0
20230307:1230,47.67,95.72,8.01,30.26,4.07,0.0
20230307:1330,0.0,0.0,0.0,28.97,3.1,0.0
20230307:1430,0.0,0.0,0.0,28.1,1.72,0.0
20230307:1530,0.0,0.0,0.0,27.44,0.07,0.0
20230307:1630,0.0,0.0,0.0,26.86,0.62,0.0
20230307:1730,0.0,0.0,0.0,25.82,1.1,0.0
20230307:1830,0.0,0.0,0.0,25.29,1.24,0.0
20230307:1930,0.0,0.0,0.0,25.46,1.45,0.0
20230307:2030,0.0,0.0,0.0,25.01,1.45,0.0
20230307:2130,0.0,0.0,0.0,24.48,1.38,0.0
20230307:2230,0.0,0.0,0.0,23.99,1.24,0.0
20230307:2330,0.0,0.0,0.0,23.65,1.17,0.0
20230308:0030,0.0,0.0,0.0,23.19,1.24,0.0
20230308:0130,24.75,64.6,4.98,22.79,1.45,0.0
20230308:0230,219.44,301.1,19.63,23.63,1.24,0.0
20230308:0330,415.11,546.19,34.13,26.88,1.17,0.0
20230308:0430,572.44,776.38,48.34,28.76,0.83,0.0
20230308:0530,656.43,935.85,61.78,30.5,0.14,0.0
20230308:0630,712.57,1023.99,72.57,31.9,0.69,0.0
20230308:0730,730.46,1033.47,73.96,33.18,1.72,0.0
20230308:0830,696.86,958.89,64.36,33.6,2.9,0.0
20230308:0930,588.54,789.45,51.22,33.65,3.59,0.0
20230308:1030,430.86,570.16,37.11,33.37,4.14,0.0
20230308:1130,231.62,320.03,22.65,32.56,4.55,0.0
20230308:1230,47.14,94.99,8.03,30.92,4.28,0.0
20230308:1330,0.0,0.0,0.0,29.47,3.52,0.0
20230308:1430,0.0,0.0,0.0,28.49,2.55,0.0
20230308:1530,0.0,0.0,0.0,27.9,1.86,0.0
20230308:1630,0.0,0.0,0.0,27.51,1.66,0.0
20230308:1730,0.0,0.0,0.0,27.08,0.9,0.0
20230308:1830,0.0,0.0,0.0,27.16,0.21,0.0
20230308:1930,0.0,0.0,0.0,26.69,0.76,0.0
20230308:2030,0.0,0.0,0.0,26.44,0.69,0.0
20230308:2130,0.0,0.0,0.0,26.03,0.55,0.0
20230308:2230,0.0,0.0,0.0,25.08,0.9,0.0
20230308:2330,0.0,0.0,0.0,24.43,1.03,0.0
20230309:0030,0.0,0.0,0.0,24.02,1.24,0.0
20230309:0130,24.49,64.29,5.11,23.55,1.52,0.0
20230309:0230,217.58,299.29,19.77,24.37,1.52,0.0
20230309:0330,421.29,552.27,34.3,27.13,1.66,0.0
20230309:0430,574.41,770.19,48.53,29.16,1.59,0.0
20230309:0530,666.83,928.73,62.03,31.09,1.17,0.0
20230309:0630,699.68,1013.86,72.94,32.69,0.48,0.0
20230309:0730,710.43,1012.3,74.3,33.64,1.38,0.0
20230309:0830,660.6,910.88,64.53,34.06,2.62,0.0
20230309:0930,575.72,774.38,51.31,33.98,3.38,0.0
20230309:1030,390.91,517.91,37.16,33.72,4.0,0.0
20230309:1130,202.58,282.01,22.68,32.71,4.28,0.0
20230309:1230,44.0,89.13,8.04,31.17,4.07,0.0
20230309:1330,0.0,0.0,0.0,29.73,3.45,0.0
20230309:1430,0.0,0.0,0.0,28.88,2.28,0.0
20230309:1530,0.0,0.0,0.0,28.35,1.45,0.0
20230309:1630,0.0,0.0,0.0,27.87,1.52,0.0
20230309:1730,0.0,0.0,0.0,27.48,1.03,0.0
20230309:1830,0.0,0.0,0.0,26.98,0.9,0.0
20230309:1930,0.0,0.0,0.0,26.24,1.17,0.0
20230309:2030,0.0,0.0,0.0,25.89,1.31,0.0
20230309:2130,0.0,0.0,0.0,25.66,1.03,0.0
20230309:2230,0.0,0.0,0.0,25.75,0.76,0.0
20230309:2330,0.0,0.0,0.0,25.57,0.76,0.0
20230310:0030,0.0,0.0,0.0,24.86,0.76,0.0
20230310:0130,22.1,54.47,5.24,24.27,0.9,0.0
20230310:0230,196.02,271.72,19.92,24.83,0.55,0.0
20230310:0330,378.55,501.87,34.46,27.25,0.55,0.0
20230310:0430,532.17,724.98,48.73,28.89,0.34,0.0
20230310:0530,643.88,901.96,62.29,30.38,0.62,0.0
20230310:0630,654.98,908.18,73.3,31.72,1.45,0.0
20230310:0730,702.51,971.84,74.63,32.06,2.21,0.0
20230310:0830,644.16,871.79,64.7,32.62,3.1,0.0
20230310:0930,568.15,756.07,51.4,32.57,3.72,0.0
20230310:1030,406.96,535.41,37.21,32.29,4.14,0.0
20230310:1130,193.59,269.02,22.7,31.5,4.34,0.0
20230310:1230,39.26,81.22,8.05,30.31,4.0,0.0
20230310:1330,0.0,0.0,0.0,29.21,2.97,0.0
20230310:1430,0.0,0.0,0.0,28.52,1.86,0.0
20230310:1530,0.0,0.0,0.0,28.0,1.38,0.0
20230310:1630,0.0,0.0,0.0,27.46,1.45,0.0
20230310:1730,0.0,0.0,0.0,26.76,1.31,0.0
20230310:1830,0.0,0.0,0.0,26.3,0.9,0.0
20230310:1930,0.0,0.0,0.0,26.57,0.69,0.0
20230310:2030,0.0,0.0,0.0,26.42,0.62,0.0
20230310:2130,0.0,0.0,0.0,25.74,0.83,0.0
20230310:2230,0.0,0.0,0.0,25.13,1.03,0.0
20230310:2330,0.0,0.0,0.0,24.64,1.17,0.0
20230311:0030,0.0,0.0,0.0,24.41,1.17,0.0
20230311:0130,22.78,59.39,5.38,23.85,1.24,0.0
20230311:0230,202.56,280.51,20.06,24.87,1.03,0.0
20230311:0330,355.33,465.94,34.62,27.4,1.31,0.0
20230311:0430,523.04,694.66,48.92,28.97,1.59,0.0
20230311:0530,646.64,895.01,62.54,30.61,1.1,0.0
20230311:0630,666.7,947.56,73.67,32.16,0.69,0.0
20230311:0730,700.8,988.8,74.97,33.13,1.52,0.0
20230311:0830,599.63,812.55,64.87,33.63,2.76,0.0
20230311:0930,577.63,770.75,51.48,33.29,3.72,0.0
20230311:1030,397.52,523.74,37.26,32.8,4.07,0.0
20230311:1130,210.34,292.16,22.73,31.89,4.21,0.0
20230311:1230,41.76,87.98,8.06,30.59,3.93,0.0
20230311:1330,0.0,0.0,0.0,29.32,3.17,0.0
20230311:1430,0.0,0.0,0.0,28.49,1.93,0.0
20230311:1530,0.0,0.0,0.0,28.06,0.48,0.0
20230311:1630,0.0,0.0,0.0,27.68,0.21,0.0
20230311:1730,0.0,0.0,0.0,27.13,0.62,0.0
20230311:1830,0.0,0.0,0.0,26.11,0.97,0.0
20230311:1930,0.0,0.0,0.0,25.98,0.9,0.0
20230311:2030,0.0,0.0,0.0,25.36,1.17,0.0
